5;GreedyTSP;662;0,1,4,3,2,0,;88
5;RandomGreedyTSP;662;0,1,4,3,2,0,;101
5;MetaTSP;662;0,1,4,3,2,0,;342
5;BruteForceTSP;437;0,1,2,4,3,0,;63
5;GreedyTSP;0;0,2,3,4,0,0,;78
5;RandomGreedyTSP;762;4,0,2,3,1,4,;37
5;MetaTSP;0;0,3,1,2,4,0,;313
5;BruteForceTSP;762;0,2,3,1,4,0,;53
5;GreedyTSP;816;0,2,4,1,3,0,;73
5;RandomGreedyTSP;678;4,1,2,0,3,4,;55
5;MetaTSP;730;0,2,4,3,1,0,;384
5;BruteForceTSP;730;0,2,4,3,1,0,;53
5;GreedyTSP;834;0,3,1,4,2,0,;28
5;RandomGreedyTSP;551;3,1,4,0,2,3,;33
5;MetaTSP;719;0,2,1,4,3,0,;243
5;BruteForceTSP;551;0,2,3,1,4,0,;45
5;GreedyTSP;735;0,4,3,1,2,0,;35
5;RandomGreedyTSP;735;0,4,3,1,2,0,;32
5;MetaTSP;735;0,4,3,1,2,0,;182
5;BruteForceTSP;735;0,4,3,1,2,0,;50
5;GreedyTSP;879;0,1,2,3,4,0,;26
5;RandomGreedyTSP;934;2,1,4,3,0,2,;36
5;MetaTSP;879;0,1,2,3,4,0,;257
5;BruteForceTSP;773;0,4,3,1,2,0,;45
5;GreedyTSP;1051;0,1,3,4,2,0,;22
5;RandomGreedyTSP;733;2,1,0,4,3,2,;15
5;MetaTSP;0;0,1,3,4,2,0,;130
5;BruteForceTSP;906;0,1,2,3,4,0,;29
5;GreedyTSP;1100;0,2,3,1,4,0,;24
5;RandomGreedyTSP;1100;4,0,2,3,1,4,;18
5;MetaTSP;1042;0,2,4,1,3,0,;150
5;BruteForceTSP;1042;0,2,4,1,3,0,;34
5;GreedyTSP;899;0,2,1,3,4,0,;35
5;RandomGreedyTSP;850;4,2,1,0,3,4,;65
5;MetaTSP;585;0,2,4,3,1,0,;162
5;BruteForceTSP;531;0,4,2,1,3,0,;33
5;GreedyTSP;947;0,4,2,3,1,0,;19
5;RandomGreedyTSP;947;0,4,2,3,1,0,;17
5;MetaTSP;792;0,4,2,1,3,0,;165
5;BruteForceTSP;792;0,4,2,1,3,0,;25
5;GreedyTSP;913;0,4,1,3,2,0,;42
5;RandomGreedyTSP;913;0,4,1,3,2,0,;35
5;MetaTSP;913;0,4,1,3,2,0,;256
5;BruteForceTSP;913;0,4,1,3,2,0,;43
5;GreedyTSP;602;0,2,4,1,3,0,;44
5;RandomGreedyTSP;867;1,4,0,0,2,1,;34
5;MetaTSP;602;0,2,4,1,3,0,;241
5;BruteForceTSP;602;0,2,4,1,3,0,;45
5;GreedyTSP;533;0,3,1,2,4,0,;23
5;RandomGreedyTSP;533;3,1,2,4,0,3,;15
5;MetaTSP;533;0,3,1,2,4,0,;154
5;BruteForceTSP;533;0,3,1,2,4,0,;26
5;GreedyTSP;825;0,1,4,2,3,0,;33
5;RandomGreedyTSP;1005;1,0,2,4,3,1,;30
5;MetaTSP;825;0,1,4,2,3,0,;236
5;BruteForceTSP;786;0,2,1,4,3,0,;46
5;GreedyTSP;809;0,4,3,1,2,0,;48
5;RandomGreedyTSP;845;4,0,1,2,3,4,;29
5;MetaTSP;809;0,4,3,1,2,0,;207
5;BruteForceTSP;809;0,4,3,1,2,0,;38
5;GreedyTSP;0;0,0,1,3,2,0,;42
5;RandomGreedyTSP;824;3,1,0,0,4,3,;22
5;MetaTSP;0;0,2,1,3,4,0,;174
5;BruteForceTSP;0;-842150451,-842150451,-842150451,-842150451,-842150451,-842150451,;62
5;GreedyTSP;0;0,4,0,1,3,0,;18
5;RandomGreedyTSP;917;1,0,4,0,2,1,;12
5;MetaTSP;0;0,3,2,1,4,0,;150
5;BruteForceTSP;0;-842150451,-842150451,-842150451,-842150451,-842150451,-842150451,;14
5;GreedyTSP;0;0,3,4,0,1,0,;37
5;RandomGreedyTSP;967;0,3,4,0,1,0,;21
5;MetaTSP;696;0,1,2,4,3,0,;201
5;BruteForceTSP;584;0,1,4,3,2,0,;39
5;GreedyTSP;742;0,3,2,4,1,0,;36
5;RandomGreedyTSP;742;2,4,1,0,3,2,;35
